tract_geoid,first_year_shootings,last_year_shootings,total_shootings,avg_annual,recent_avg,change,pct_change,is_emerging,is_improving
42101035800,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101035900,0,0,4,0.36363636363636365,1.0,0,0.0,False,False
42101036000,1,0,5,0.45454545454545453,0.3333333333333333,-1,-100.0,False,False
42101036100,1,0,5,0.45454545454545453,0.3333333333333333,-1,-100.0,False,False
42101036201,1,0,6,0.5454545454545454,0.0,-1,-100.0,False,False
42101036202,1,0,1,0.09090909090909091,0.0,-1,-100.0,False,False
42101036301,1,0,5,0.45454545454545453,0.6666666666666666,-1,-100.0,False,False
42101036302,0,0,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
42101036303,0,0,2,0.18181818181818182,0.6666666666666666,0,0.0,False,False
42101036501,0,1,2,0.18181818181818182,0.6666666666666666,1,100.0,False,False
42101036502,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101036600,0,2,20,1.8181818181818181,1.6666666666666667,2,100.0,False,False
42101036700,1,3,13,1.1818181818181819,1.6666666666666667,2,200.0,False,False
42101036901,0,1,14,1.2727272727272727,1.0,1,100.0,False,False
42101036902,2,0,4,0.36363636363636365,0.6666666666666666,-2,-100.0,False,False
42101037200,0,0,17,1.5454545454545454,2.0,0,0.0,False,False
42101037300,0,2,6,0.5454545454545454,1.0,2,100.0,False,False
42101037500,4,0,9,0.8181818181818182,0.0,-4,-100.0,False,False
42101037600,0,3,27,2.4545454545454546,1.6666666666666667,3,100.0,False,False
42101037700,6,4,77,7.0,5.333333333333333,-2,-33.3,False,False
42101037800,0,0,20,1.8181818181818181,2.6666666666666665,0,0.0,False,False
42101037900,2,0,16,1.4545454545454546,0.6666666666666666,-2,-100.0,False,False
42101038000,0,1,19,1.7272727272727273,1.6666666666666667,1,100.0,False,False
42101038100,0,1,15,1.3636363636363635,2.0,1,100.0,False,False
42101038200,3,6,78,7.090909090909091,9.666666666666666,3,100.0,False,False
42101038301,1,0,27,2.4545454545454546,1.6666666666666667,-1,-100.0,False,False
42101038400,0,1,2,0.18181818181818182,0.3333333333333333,1,100.0,False,False
42101038700,0,1,2,0.18181818181818182,0.3333333333333333,1,100.0,False,False
42101038900,2,2,26,2.3636363636363638,3.0,0,0.0,False,False
42101039001,2,1,42,3.8181818181818183,3.3333333333333335,-1,-50.0,False,False
42101039002,5,7,54,4.909090909090909,7.0,2,40.0,False,False
42101039100,5,1,68,6.181818181818182,3.3333333333333335,-4,-80.0,False,False
