GEOID,tract_name,total_population,black_alone,pct_black,white_alone,pct_white,asian_alone,pct_asian,hispanic_latino,pct_hispanic,median_household_income,below_poverty,pct_poverty
42101011700,Census Tract 117; Philadelphia County; Pennsylvania,2009,723,36.0,938,46.7,247,12.3,48,2.4,103750,241,24.8
42101011800,Census Tract 118; Philadelphia County; Pennsylvania,5048,4826,95.6,27,0.5,83,1.6,13,0.3,41649,1718,34.0
42101011900,Census Tract 119; Philadelphia County; Pennsylvania,5570,5014,90.0,340,6.1,0,0.0,67,1.2,61311,1168,21.3
42101012000,Census Tract 120; Philadelphia County; Pennsylvania,1917,888,46.3,615,32.1,181,9.4,137,7.1,65331,192,13.7
42101012100,Census Tract 121; Philadelphia County; Pennsylvania,3052,2223,72.8,609,20.0,51,1.7,69,2.3,51555,450,16.9
42101012201,Census Tract 122.01; Philadelphia County; Pennsylvania,2954,1346,45.6,722,24.4,365,12.4,348,11.8,39608,669,22.6
42101012203,Census Tract 122.03; Philadelphia County; Pennsylvania,1074,320,29.8,239,22.3,293,27.3,122,11.4,63750,279,26.0
42101012204,Census Tract 122.04; Philadelphia County; Pennsylvania,3915,3043,77.7,532,13.6,162,4.1,88,2.2,48000,694,19.5
42101012501,Census Tract 125.01; Philadelphia County; Pennsylvania,2235,265,11.9,1365,61.1,393,17.6,132,5.9,79694,248,13.1
42101012502,Census Tract 125.02; Philadelphia County; Pennsylvania,3743,511,13.7,2260,60.4,733,19.6,240,6.4,88936,595,15.9
42101013100,Census Tract 131; Philadelphia County; Pennsylvania,1871,1078,57.6,627,33.5,100,5.3,126,6.7,32083,693,37.3
42101013200,Census Tract 132; Philadelphia County; Pennsylvania,2957,1508,51.0,914,30.9,203,6.9,423,14.3,41898,1028,37.5
42101013300,Census Tract 133; Philadelphia County; Pennsylvania,3500,742,21.2,1865,53.3,287,8.2,566,16.2,88264,401,11.5
42101013401,Census Tract 134.01; Philadelphia County; Pennsylvania,2974,272,9.1,2560,86.1,56,1.9,67,2.3,126333,234,7.9
42101013402,Census Tract 134.02; Philadelphia County; Pennsylvania,2929,165,5.6,2280,77.8,109,3.7,400,13.7,89669,403,13.8
42101013500,Census Tract 135; Philadelphia County; Pennsylvania,4078,590,14.5,3303,81.0,137,3.4,204,5.0,143636,177,4.3
42101013601,Census Tract 136.01; Philadelphia County; Pennsylvania,2882,160,5.6,2272,78.8,205,7.1,163,5.7,107019,239,8.3
42101013602,Census Tract 136.02; Philadelphia County; Pennsylvania,3975,261,6.6,3053,76.8,243,6.1,257,6.5,116375,168,4.2
42101013701,Census Tract 137.01; Philadelphia County; Pennsylvania,1753,592,33.8,869,49.6,171,9.8,92,5.2,92337,158,9.0
